Borderpoint,Exit,Entry,Month,Flow Volume
Rogatec,Slovenia,Croatia,2016-09-01,106.0
Rogatec,Croatia,Slovenia,2016-09-01,0.0
Ruggel,Austria,Liechtenstein,2016-09-01,3.0
s Gravenvoeren,Belgium,Netherlands,2016-09-01,6.0
s Gravenvoeren,Netherlands,Belgium,2016-09-01,383.0
Sagunto,Liquefied Natural Gas,Spain,2016-09-01,206.0
Sâkiai,Lithuania,Russia,2016-09-01,170.0
Samsun,Russia,Republic of Türkiye,2016-09-01,855.0
Santaka,Lithuania,Poland,2016-09-01,0.0
Santaka,Poland,Lithuania,2016-09-01,0.0
Saros FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-09-01,
Sines,Liquefied Natural Gas,Portugal,2016-09-01,106.0
Snohvit,Norway,Liquefied Natural Gas,2016-09-01,506.0
South Hook,Liquefied Natural Gas,United Kingdom,2016-09-01,1033.0
St Fergus (Alvheim and Edvard Greig),Norway,United Kingdom,2016-09-01,100.0
St Fergus (GB) / Gjoa Gas Pipeline (NO),Norway,United Kingdom,2016-09-01,520.0
St Fergus (GB) / Statfjord-Tampen Link (NO),Norway,United Kingdom,2016-09-01,297.0
St Fergus (Statfjord),Norway,United Kingdom,2016-09-01,720.0
St Fergus (Vesterled),Norway,United Kingdom,2016-09-01,444.0
Stara Zagora,Greece,Bulgaria,2016-09-01,
Stara Zagora,Bulgaria,Greece,2016-09-01,0.0
Swinoujscie,Liquefied Natural Gas,Poland,2016-09-01,126.0
Tarifa,Morocco,Spain,2016-09-01,801.0
Tarifa,Spain,Morocco,2016-09-01,0.0
Tarvisio,Austria,Italy,2016-09-01,2243.0
Tarvisio,Italy,Austria,2016-09-01,0.0
Tasnieres (L),Belgium,France,2016-09-01,434.0
Teesside,Liquefied Natural Gas,United Kingdom,2016-09-01,0.0
Teesside via CATS,Norway,United Kingdom,2016-09-01,1.0
Tegelen (OGE),Netherlands,Germany,2016-09-01,0.0
Thayngen,Germany,Switzerland,2016-09-01,0.0
Tietierowka,Belarus,Poland,2016-09-01,3.0
Turkgozu,Georgia,Republic of Türkiye,2016-09-01,519.0
Tuy,Portugal,Spain,2016-09-01,0.0
Tuy,Spain,Portugal,2016-09-01,10.0
Uberackern I,Austria,Germany,2016-09-01,
Uberackern I/II,Germany,Austria,2016-09-01,
Uberackern II,Austria,Germany,2016-09-01,46.0
Uberackern II,Germany,Austria,2016-09-01,62.0
Ungheni,Romania,"Moldova, Republic",2016-09-01,0.0
Varska,Russia,Estonia,2016-09-01,15.0
Velke Kapusany,Ukraine,Slovak Republic,2016-09-01,4365.0
Velke Zlievce,Hungary,Slovak Republic,2016-09-01,0.0
Velke Zlievce,Slovak Republic,Hungary,2016-09-01,0.0
VIP Iberico,Portugal,Spain,2016-09-01,0.0
VIP Iberico,Spain,Portugal,2016-09-01,320.0
VIP Pirineos,France,Spain,2016-09-01,253.0
VIP Pirineos,Spain,France,2016-09-01,0.0
VIP-BENE,Belgium,Netherlands,2016-09-01,
VIP-BENE,Netherlands,Belgium,2016-09-01,
VIP-THE-ZTP,Belgium,Germany,2016-09-01,
VIP-THE-ZTP,Germany,Belgium,2016-09-01,
Virtualys,Belgium,France,2016-09-01,
Virtualys,France,Belgium,2016-09-01,
Vlieghuis (RWE),Netherlands,Germany,2016-09-01,124.0
Vyrava,Poland,Slovak Republic,2016-09-01,0.0
Vyrava,Slovak Republic,Poland,2016-09-01,0.0
Waidhaus,Czech Republic,Germany,2016-09-01,1555.0
Waidhaus,Germany,Czech Republic,2016-09-01,0.0
Wallbach,Germany,Switzerland,2016-09-01,1139.0
Wallbach,Switzerland,Germany,2016-09-01,
WestGasTransport (WGT) Pipeline,United Kingdom,Netherlands,2016-09-01,82.0
Winterswijk,Germany,Netherlands,2016-09-01,0.0
Winterswijk,Netherlands,Germany,2016-09-01,487.0
Wysokoje,Belarus,Poland,2016-09-01,269.0
Zandvliet (H),Netherlands,Belgium,2016-09-01,82.0
Zandvliet (L),Netherlands,Belgium,2016-09-01,0.0
Zeebrugge (LNG),Belgium,Liquefied Natural Gas,2016-09-01,
Zeebrugge (LNG),Liquefied Natural Gas,Belgium,2016-09-01,93.0
Zeebrugge (ZPT),Norway,Belgium,2016-09-01,480.0
Zelzate (GTS),Belgium,Netherlands,2016-09-01,255.0
Zelzate (GTS),Netherlands,Belgium,2016-09-01,0.0
Zelzate (Zebra),Belgium,Netherlands,2016-09-01,107.0
Zevenaar,Germany,Netherlands,2016-09-01,0.0
Zevenaar,Netherlands,Germany,2016-09-01,221.0
Adriatic LNG,Liquefied Natural Gas,Italy,2016-10-01,446.0
Almeria,Algeria,Spain,2016-10-01,603.0
Alveringem,Belgium,France,2016-10-01,2.0
Alveringem,France,Belgium,2016-10-01,0.0
Badajoz,Portugal,Spain,2016-10-01,0.0
Badajoz,Spain,Portugal,2016-10-01,242.0
Baltic Connector Inkoo/Paldiski,Finland,Estonia,2016-10-01,0.0
Baltic Connector Inkoo/Paldiski,Estonia,Finland,2016-10-01,0.0
Barcelona,Liquefied Natural Gas,Spain,2016-10-01,245.0
Basel,Germany,Switzerland,2016-10-01,0.0
Baumgarten,Slovak Republic,Austria,2016-10-01,3789.0
Baumgarten,Austria,Slovak Republic,2016-10-01,362.0
Bauska,Latvia,Lithuania,2016-10-01,0.0
BBL,Netherlands,United Kingdom,2016-10-01,439.0
BBL,United Kingdom,Netherlands,2016-10-01,10.0
Beregdaróc,Ukraine,Hungary,2016-10-01,567.0
Beregdaróc,Hungary,Ukraine,2016-10-01,130.0
Bilbao,Liquefied Natural Gas,Spain,2016-10-01,154.0
Biriatou,France,Spain,2016-10-01,
Biriatou,Spain,France,2016-10-01,
Bizzarone Como,Italy,Switzerland,2016-10-01,9.0
Blaregnies (H),Belgium,France,2016-10-01,858.0
Bocholtz,Germany,Netherlands,2016-10-01,29.0
Bocholtz,Netherlands,Germany,2016-10-01,594.0
Bocholtz-Vetschau,Netherlands,Germany,2016-10-01,0.0
Brandov EUGAL,Germany,Czech Republic,2016-10-01,10.0
Brandov OPAL,Germany,Czech Republic,2016-10-01,2444.0
Brandov OPAL,Czech Republic,Germany,2016-10-01,0.0
Branice,Czech Republic,Poland,2016-10-01,0.0
Bras,Belgium,Luxembourg,2016-10-01,54.0
Bras - Petange,Belgium,Luxembourg,2016-10-01,
Budince,Ukraine,Slovak Republic,2016-10-01,0.0
Budince,Slovak Republic,Ukraine,2016-10-01,1259.0
Bunde,Germany,Netherlands,2016-10-01,391.0
Bunde,Netherlands,Germany,2016-10-01,
Cartagena,Liquefied Natural Gas,Spain,2016-10-01,27.0
Csanadpalota,Romania,Hungary,2016-10-01,0.0
Csanadpalota,Hungary,Romania,2016-10-01,0.0
Dinxperlo (RWE),Netherlands,Germany,2016-10-01,0.0
Dogubajazit,"Iran, Islamic Republic",Republic of Türkiye,2016-10-01,581.0
Dornum,Norway,Germany,2016-10-01,1976.0
Dortyol FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-10-01,
Dragon LNG,Liquefied Natural Gas,United Kingdom,2016-10-01,0.0
Dragor,Denmark,Sweden,2016-10-01,64.0
Dravaszerdahely,Hungary,Croatia,2016-10-01,13.0
Dravaszerdahely,Croatia,Hungary,2016-10-01,0.0
Drozdowicze,Ukraine,Poland,2016-10-01,382.0
Dunkerque,Norway,France,2016-10-01,1476.0
Dunkerque (LNG),Liquefied Natural Gas,France,2016-10-01,44.0
Easington,Norway,United Kingdom,2016-10-01,1813.0
Edirne,Republic of Türkiye,Liquefied Natural Gas,2016-10-01,
Ellund,Germany,Denmark,2016-10-01,6.0
Ellund,Denmark,Germany,2016-10-01,39.0
Emden (EPT1),Norway,Netherlands,2016-10-01,2141.0
Emden (EPT1),Norway,Germany,2016-10-01,437.0
Emden (EPT1),Netherlands,Norway,2016-10-01,0.0
Emden (NPT),Norway,Netherlands,2016-10-01,0.0
Emden (NPT),Norway,Germany,2016-10-01,0.0
Emden (NPT),Netherlands,Norway,2016-10-01,0.0
Etki FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-10-01,
Eynatten (EON/RWE),Germany,Belgium,2016-10-01,92.0
Eynatten (EON/RWE),Belgium,Germany,2016-10-01,16.0
Eynatten (Wingas),Germany,Belgium,2016-10-01,112.0
Eynatten (Wingas),Belgium,Germany,2016-10-01,0.0
Faxe,Denmark,Poland,2016-10-01,0.0
Fernana,Algeria,Tunisia,2016-10-01,1763.0
Finkenherd (EWE),Germany,Poland,2016-10-01,4.0
Fos sur Mer,Liquefied Natural Gas,France,2016-10-01,676.0
FSRU Alexandroupolis,Liquefied Natural Gas,Greece,2016-10-01,
Gate,Liquefied Natural Gas,Netherlands,2016-10-01,26.0
Gela,Libya,Italy,2016-10-01,398.0
Giurgiu,Romania,Bulgaria,2016-10-01,0.0
Giurgiu,Bulgaria,Romania,2016-10-01,0.0
Gorizia,Slovenia,Italy,2016-10-01,0.0
Gorizia,Italy,Slovenia,2016-10-01,0.0
Griespass,Switzerland,Italy,2016-10-01,402.0
Griespass,Italy,Switzerland,2016-10-01,0.0
Gubin,Germany,Poland,2016-10-01,0.0
Haanrade (RWE),Netherlands,Germany,2016-10-01,3.0
Hermanowice,Poland,Ukraine,2016-10-01,129.0
Hilvarenbeek,Netherlands,Belgium,2016-10-01,1028.0
Hilvarenbeek,Belgium,Netherlands,2016-10-01,36.0
"Hochst, Feldkirch/Bangs (Dist. networks)",Switzerland,Austria,2016-10-01,
"Hochst, Feldkirch/Bangs (Dist. networks)",Austria,Switzerland,2016-10-01,
Hora svate Kateriny,Germany,Czech Republic,2016-10-01,0.0
Hora svate Kateriny,Czech Republic,Germany,2016-10-01,136.0
Huelva,Liquefied Natural Gas,Spain,2016-10-01,324.0
Imatra,Russia,Finland,2016-10-01,160.0
Interconnector,United Kingdom,Belgium,2016-10-01,436.0
Interconnector,Belgium,United Kingdom,2016-10-01,0.0
Interfield transfer from Blane to Ula,United Kingdom,Norway,2016-10-01,0.0
Isaccea,Romania,Ukraine,2016-10-01,0.0
Isaccea,Ukraine,Romania,2016-10-01,1763.0
Isle of Grain,Liquefied Natural Gas,United Kingdom,2016-10-01,247.0
Isle of Grain,United Kingdom,Liquefied Natural Gas,2016-10-01,104.0
Isle of Man,United Kingdom,Isle Of Man,2016-10-01,10.0
Izmir,Liquefied Natural Gas,Republic of Türkiye,2016-10-01,0.0
Jidilovo,Bulgaria,North Macedonia,2016-10-01,25.0
Jidilovo,North Macedonia,Bulgaria,2016-10-01,0.0
Jura,France,Switzerland,2016-10-01,7.0
Kalotina (BG)/ Dimitrovgrad (RS),Serbia,Bulgaria,2016-10-01,
Kalotina (BG)/ Dimitrovgrad (RS),Bulgaria,Serbia,2016-10-01,
Kamminke,Poland,Germany,2016-10-01,0.0
Karksi,Latvia,Estonia,2016-10-01,8.0
Karksi,Estonia,Latvia,2016-10-01,0.0
Kastoria (TAP),Greece,Albania,2016-10-01,0.0
Kiefersfelden,Germany,Austria,2016-10-01,29.0
Kieménai,Lithuania,Latvia,2016-10-01,0.0
Kieménai,Latvia,Lithuania,2016-10-01,15.0
Kipi,Republic of Türkiye,Greece,2016-10-01,56.0
Kireevo(BG)/Zaychar(RS),Bulgaria,Serbia,2016-10-01,0.0
Kireevo(BG)/Zaychar(RS),Serbia,Bulgaria,2016-10-01,
Kiskundorozsma,Hungary,Serbia,2016-10-01,171.0
Kiskundorozsma,Serbia,Hungary,2016-10-01,0.0
Kiyikoy,Russia,Republic of Türkiye,2016-10-01,0.0
Klaipeda,Liquefied Natural Gas,Lithuania,2016-10-01,57.0
Kondratki,Belarus,Poland,2016-10-01,2966.0
Korneti,Estonia,Latvia,2016-10-01,48.0
Korneti,Latvia,Estonia,2016-10-01,11.0
Kotlovka,Belarus,Lithuania,2016-10-01,339.0
KrK - Omisalj,Liquefied Natural Gas,Croatia,2016-10-01,0.0
KrK - Omisalj,Croatia,Liquefied Natural Gas,2016-10-01,0.0
Kula,Greece,Bulgaria,2016-10-01,0.0
Kula,Bulgaria,Greece,2016-10-01,291.0
Laa,Czech Republic,Austria,2016-10-01,0.0
Laa,Austria,Czech Republic,2016-10-01,
Lanzhot,Slovak Republic,Czech Republic,2016-10-01,62.0
Lanzhot,Czech Republic,Slovak Republic,2016-10-01,62.0
Larrau,France,Spain,2016-10-01,
Larrau,Spain,France,2016-10-01,
Lasow,Germany,Poland,2016-10-01,37.0
Lindau,Germany,Austria,2016-10-01,0.0
Livorno,Liquefied Natural Gas,Italy,2016-10-01,0.0
Malkoclar,Republic of Türkiye,Bulgaria,2016-10-01,0.0
Malkoclar,Bulgaria,Republic of Türkiye,2016-10-01,1047.0
Malkoclar2,Republic of Türkiye,Bulgaria,2016-10-01,
Mallnow (Frankfurt am Oder),Germany,Poland,2016-10-01,0.0
Mallnow (Frankfurt am Oder),Poland,Germany,2016-10-01,2473.0
Marmara Ereglisi,Liquefied Natural Gas,Republic of Türkiye,2016-10-01,232.0
Marmara Ereglisi,Republic of Türkiye,Liquefied Natural Gas,2016-10-01,
Mazara del Vallo,Tunisia,Italy,2016-10-01,1591.0
Mediesu Aurit,Ukraine,Romania,2016-10-01,183.0
Melendugno (TAP),Albania,Italy,2016-10-01,0.0
Melendugno (TAP),Italy,Albania,2016-10-01,0.0
Moffat,United Kingdom,Ireland,2016-10-01,120.0
Mokri Haj,Slovak Republic,Czech Republic,2016-10-01,0.0
Montoir de Bretagne,Liquefied Natural Gas,France,2016-10-01,172.0
Moravia,Czech Republic,Poland,2016-10-01,0.0
Mosonmagyarovar,Austria,Hungary,2016-10-01,272.0
Mosonmagyarovar,Hungary,Austria,2016-10-01,0.0
Murfeld,Austria,Slovenia,2016-10-01,205.0
Murgardos,Liquefied Natural Gas,Spain,2016-10-01,97.0
Musel,Liquefied Natural Gas,Spain,2016-10-01,0.0
Narva,Russia,Estonia,2016-10-01,0.0
Negru Voda,Romania,Bulgaria,2016-10-01,1647.0
Negru Voda,Bulgaria,Romania,2016-10-01,0.0
Nord Stream,Russia,Germany,2016-10-01,3818.0
Northern Offshore Gas Transport (NOGAT),Denmark,Netherlands,2016-10-01,82.0
Not Elsewhere Specified,Croatia,Italy,2016-10-01,20.0
Not Elsewhere Specified,Finland,Liquefied Natural Gas,2016-10-01,0.0
Not Elsewhere Specified,Liquefied Natural Gas,Finland,2016-10-01,0.0
Not Elsewhere Specified,Not Elsewhere Specified,Ukraine,2016-10-01,0.0
Not Elsewhere Specified,Russia,Ukraine,2016-10-01,9630.0
Not Elsewhere Specified,Republic of Türkiye,Liquefied Natural Gas,2016-10-01,0.0
Not Elsewhere Specified,Ukraine,"Moldova, Republic",2016-10-01,386.0
Nybro,Norway,Denmark,2016-10-01,45.0
Obbicht,Netherlands,Belgium,2016-10-01,
Obergailbach,Germany,France,2016-10-01,654.0
Oberkappel,Austria,Germany,2016-10-01,0.0
Oberkappel,Germany,Austria,2016-10-01,408.0
"Oberkappel, Uberackern, Storage/distribution",Germany,Austria,2016-10-01,694.0
"Oberkappel, Uberackern, Storage/distribution",Austria,Germany,2016-10-01,301.0
Olbernhau,Germany,Czech Republic,2016-10-01,705.0
Olbernhau,Czech Republic,Germany,2016-10-01,0.0
Oltingue,France,Switzerland,2016-10-01,10.0
Oltingue,Switzerland,France,2016-10-01,0.0
Oude (H-Gas),Netherlands,Germany,2016-10-01,68.0
Oude (H-Gas),Germany,Netherlands,2016-10-01,894.0
Oude (L-Gas),Netherlands,Germany,2016-10-01,451.0
Oude (L-Gas),Germany,Netherlands,2016-10-01,4.0
Panigaglia,Liquefied Natural Gas,Italy,2016-10-01,0.0
Petange,Belgium,Luxembourg,2016-10-01,7.0
Piombino,Liquefied Natural Gas,Italy,2016-10-01,0.0
Privalka,Belarus,Lithuania,2016-10-01,0.0
Remich,Germany,Luxembourg,2016-10-01,5.0
Revithoussa,Liquefied Natural Gas,Greece,2016-10-01,0.0
Revithoussa,Greece,Liquefied Natural Gas,2016-10-01,
Rogatec,Slovenia,Croatia,2016-10-01,130.0
Rogatec,Croatia,Slovenia,2016-10-01,0.0
Ruggel,Austria,Liechtenstein,2016-10-01,5.0
s Gravenvoeren,Belgium,Netherlands,2016-10-01,1.0
s Gravenvoeren,Netherlands,Belgium,2016-10-01,384.0
Sagunto,Liquefied Natural Gas,Spain,2016-10-01,276.0
Sâkiai,Lithuania,Russia,2016-10-01,202.0
Samsun,Russia,Republic of Türkiye,2016-10-01,1119.0
Santaka,Lithuania,Poland,2016-10-01,0.0
Santaka,Poland,Lithuania,2016-10-01,0.0
Saros FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-10-01,
Sines,Liquefied Natural Gas,Portugal,2016-10-01,235.0
Snohvit,Norway,Liquefied Natural Gas,2016-10-01,529.0
South Hook,Liquefied Natural Gas,United Kingdom,2016-10-01,184.0
St Fergus (Alvheim and Edvard Greig),Norway,United Kingdom,2016-10-01,103.0
St Fergus (GB) / Gjoa Gas Pipeline (NO),Norway,United Kingdom,2016-10-01,571.0
St Fergus (GB) / Statfjord-Tampen Link (NO),Norway,United Kingdom,2016-10-01,239.0
St Fergus (Statfjord),Norway,United Kingdom,2016-10-01,721.0
St Fergus (Vesterled),Norway,United Kingdom,2016-10-01,526.0
Stara Zagora,Greece,Bulgaria,2016-10-01,
Stara Zagora,Bulgaria,Greece,2016-10-01,0.0
Swinoujscie,Liquefied Natural Gas,Poland,2016-10-01,124.0
Tarifa,Morocco,Spain,2016-10-01,642.0
Tarifa,Spain,Morocco,2016-10-01,0.0
Tarvisio,Austria,Italy,2016-10-01,2897.0
Tarvisio,Italy,Austria,2016-10-01,10.0
Tasnieres (L),Belgium,France,2016-10-01,514.0
Teesside,Liquefied Natural Gas,United Kingdom,2016-10-01,0.0
Teesside via CATS,Norway,United Kingdom,2016-10-01,0.0
Tegelen (OGE),Netherlands,Germany,2016-10-01,0.0
Thayngen,Germany,Switzerland,2016-10-01,0.0
Tietierowka,Belarus,Poland,2016-10-01,7.0
Turkgozu,Georgia,Republic of Türkiye,2016-10-01,464.0
Tuy,Portugal,Spain,2016-10-01,0.0
Tuy,Spain,Portugal,2016-10-01,0.0
Uberackern I,Austria,Germany,2016-10-01,
Uberackern I/II,Germany,Austria,2016-10-01,
Uberackern II,Austria,Germany,2016-10-01,42.0
Uberackern II,Germany,Austria,2016-10-01,79.0
Ungheni,Romania,"Moldova, Republic",2016-10-01,0.0
Varska,Russia,Estonia,2016-10-01,38.0
Velke Kapusany,Ukraine,Slovak Republic,2016-10-01,4970.0
Velke Zlievce,Hungary,Slovak Republic,2016-10-01,0.0
Velke Zlievce,Slovak Republic,Hungary,2016-10-01,0.0
VIP Iberico,Portugal,Spain,2016-10-01,0.0
VIP Iberico,Spain,Portugal,2016-10-01,237.0
VIP Pirineos,France,Spain,2016-10-01,306.0
VIP Pirineos,Spain,France,2016-10-01,0.0
VIP-BENE,Belgium,Netherlands,2016-10-01,
VIP-BENE,Netherlands,Belgium,2016-10-01,
VIP-THE-ZTP,Belgium,Germany,2016-10-01,
VIP-THE-ZTP,Germany,Belgium,2016-10-01,
Virtualys,Belgium,France,2016-10-01,
Virtualys,France,Belgium,2016-10-01,
Vlieghuis (RWE),Netherlands,Germany,2016-10-01,140.0
Vyrava,Poland,Slovak Republic,2016-10-01,0.0
Vyrava,Slovak Republic,Poland,2016-10-01,0.0
Waidhaus,Czech Republic,Germany,2016-10-01,2309.0
Waidhaus,Germany,Czech Republic,2016-10-01,0.0
Wallbach,Germany,Switzerland,2016-10-01,674.0
Wallbach,Switzerland,Germany,2016-10-01,
WestGasTransport (WGT) Pipeline,United Kingdom,Netherlands,2016-10-01,123.0
Winterswijk,Germany,Netherlands,2016-10-01,0.0
Winterswijk,Netherlands,Germany,2016-10-01,536.0
Wysokoje,Belarus,Poland,2016-10-01,275.0
Zandvliet (H),Netherlands,Belgium,2016-10-01,120.0
Zandvliet (L),Netherlands,Belgium,2016-10-01,0.0
Zeebrugge (LNG),Belgium,Liquefied Natural Gas,2016-10-01,
Zeebrugge (LNG),Liquefied Natural Gas,Belgium,2016-10-01,109.0
Zeebrugge (ZPT),Norway,Belgium,2016-10-01,1319.0
Zelzate (GTS),Belgium,Netherlands,2016-10-01,226.0
Zelzate (GTS),Netherlands,Belgium,2016-10-01,0.0
Zelzate (Zebra),Belgium,Netherlands,2016-10-01,151.0
Zevenaar,Germany,Netherlands,2016-10-01,0.0
Zevenaar,Netherlands,Germany,2016-10-01,711.0
Adriatic LNG,Liquefied Natural Gas,Italy,2016-11-01,420.0
Almeria,Algeria,Spain,2016-11-01,635.0
Alveringem,Belgium,France,2016-11-01,0.0
Alveringem,France,Belgium,2016-11-01,0.0
Badajoz,Portugal,Spain,2016-11-01,0.0
Badajoz,Spain,Portugal,2016-11-01,319.0
Baltic Connector Inkoo/Paldiski,Finland,Estonia,2016-11-01,0.0
Baltic Connector Inkoo/Paldiski,Estonia,Finland,2016-11-01,0.0
Barcelona,Liquefied Natural Gas,Spain,2016-11-01,338.0
Basel,Germany,Switzerland,2016-11-01,0.0
Baumgarten,Slovak Republic,Austria,2016-11-01,3333.0
Baumgarten,Austria,Slovak Republic,2016-11-01,232.0
Bauska,Latvia,Lithuania,2016-11-01,0.0
BBL,Netherlands,United Kingdom,2016-11-01,1081.0
BBL,United Kingdom,Netherlands,2016-11-01,3.0
Beregdaróc,Ukraine,Hungary,2016-11-01,654.0
Beregdaróc,Hungary,Ukraine,2016-11-01,156.0
Bilbao,Liquefied Natural Gas,Spain,2016-11-01,177.0
Biriatou,France,Spain,2016-11-01,
Biriatou,Spain,France,2016-11-01,
Bizzarone Como,Italy,Switzerland,2016-11-01,13.0
Blaregnies (H),Belgium,France,2016-11-01,795.0
Bocholtz,Germany,Netherlands,2016-11-01,2.0
Bocholtz,Netherlands,Germany,2016-11-01,560.0
Bocholtz-Vetschau,Netherlands,Germany,2016-11-01,45.0
Brandov EUGAL,Germany,Czech Republic,2016-11-01,12.0
Brandov OPAL,Germany,Czech Republic,2016-11-01,2041.0
Brandov OPAL,Czech Republic,Germany,2016-11-01,0.0
Branice,Czech Republic,Poland,2016-11-01,0.0
Bras,Belgium,Luxembourg,2016-11-01,50.0
Bras - Petange,Belgium,Luxembourg,2016-11-01,
Budince,Ukraine,Slovak Republic,2016-11-01,0.0
Budince,Slovak Republic,Ukraine,2016-11-01,1259.0
Bunde,Germany,Netherlands,2016-11-01,522.0
Bunde,Netherlands,Germany,2016-11-01,
Cartagena,Liquefied Natural Gas,Spain,2016-11-01,77.0
Csanadpalota,Romania,Hungary,2016-11-01,0.0
Csanadpalota,Hungary,Romania,2016-11-01,0.0
Dinxperlo (RWE),Netherlands,Germany,2016-11-01,0.0
Dogubajazit,"Iran, Islamic Republic",Republic of Türkiye,2016-11-01,706.0
Dornum,Norway,Germany,2016-11-01,1571.0
Dortyol FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-11-01,
Dragon LNG,Liquefied Natural Gas,United Kingdom,2016-11-01,5.0
Dragor,Denmark,Sweden,2016-11-01,106.0
Dravaszerdahely,Hungary,Croatia,2016-11-01,10.0
Dravaszerdahely,Croatia,Hungary,2016-11-01,0.0
Drozdowicze,Ukraine,Poland,2016-11-01,360.0
Dunkerque,Norway,France,2016-11-01,1444.0
Dunkerque (LNG),Liquefied Natural Gas,France,2016-11-01,68.0
Easington,Norway,United Kingdom,2016-11-01,2099.0
Edirne,Republic of Türkiye,Liquefied Natural Gas,2016-11-01,
Ellund,Germany,Denmark,2016-11-01,27.0
Ellund,Denmark,Germany,2016-11-01,0.0
Emden (EPT1),Norway,Netherlands,2016-11-01,2235.0
Emden (EPT1),Norway,Germany,2016-11-01,1212.0
Emden (EPT1),Netherlands,Norway,2016-11-01,0.0
Emden (NPT),Norway,Netherlands,2016-11-01,0.0
Emden (NPT),Norway,Germany,2016-11-01,350.0
Emden (NPT),Netherlands,Norway,2016-11-01,0.0
Etki FSRU,Liquefied Natural Gas,Republic of Türkiye,2016-11-01,
Eynatten (EON/RWE),Germany,Belgium,2016-11-01,330.0
Eynatten (EON/RWE),Belgium,Germany,2016-11-01,0.0
Eynatten (Wingas),Germany,Belgium,2016-11-01,272.0
Eynatten (Wingas),Belgium,Germany,2016-11-01,0.0
Faxe,Denmark,Poland,2016-11-01,0.0
Fernana,Algeria,Tunisia,2016-11-01,1966.0
Finkenherd (EWE),Germany,Poland,2016-11-01,5.0
Fos sur Mer,Liquefied Natural Gas,France,2016-11-01,320.0
FSRU Alexandroupolis,Liquefied Natural Gas,Greece,2016-11-01,
Gate,Liquefied Natural Gas,Netherlands,2016-11-01,20.0
Gela,Libya,Italy,2016-11-01,468.0
Giurgiu,Romania,Bulgaria,2016-11-01,0.0
Giurgiu,Bulgaria,Romania,2016-11-01,0.0
Gorizia,Slovenia,Italy,2016-11-01,0.0
Gorizia,Italy,Slovenia,2016-11-01,5.0
Griespass,Switzerland,Italy,2016-11-01,374.0
Griespass,Italy,Switzerland,2016-11-01,1.0
Gubin,Germany,Poland,2016-11-01,0.0
Haanrade (RWE),Netherlands,Germany,2016-11-01,3.0
Hermanowice,Poland,Ukraine,2016-11-01,106.0
Hilvarenbeek,Netherlands,Belgium,2016-11-01,1269.0
Hilvarenbeek,Belgium,Netherlands,2016-11-01,0.0
"Hochst, Feldkirch/Bangs (Dist. networks)",Switzerland,Austria,2016-11-01,
"Hochst, Feldkirch/Bangs (Dist. networks)",Austria,Switzerland,2016-11-01,
Hora svate Kateriny,Germany,Czech Republic,2016-11-01,0.0
Hora svate Kateriny,Czech Republic,Germany,2016-11-01,202.0
Huelva,Liquefied Natural Gas,Spain,2016-11-01,358.0
Imatra,Russia,Finland,2016-11-01,276.0
Interconnector,United Kingdom,Belgium,2016-11-01,12.0
Interconnector,Belgium,United Kingdom,2016-11-01,555.0
Interfield transfer from Blane to Ula,United Kingdom,Norway,2016-11-01,0.0
Isaccea,Romania,Ukraine,2016-11-01,0.0
Isaccea,Ukraine,Romania,2016-11-01,1998.0
Isle of Grain,Liquefied Natural Gas,United Kingdom,2016-11-01,131.0
Isle of Grain,United Kingdom,Liquefied Natural Gas,2016-11-01,0.0
Isle of Man,United Kingdom,Isle Of Man,2016-11-01,12.0
Izmir,Liquefied Natural Gas,Republic of Türkiye,2016-11-01,0.0
Jidilovo,Bulgaria,North Macedonia,2016-11-01,33.0
Jidilovo,North Macedonia,Bulgaria,2016-11-01,0.0
Jura,France,Switzerland,2016-11-01,16.0
Kalotina (BG)/ Dimitrovgrad (RS),Serbia,Bulgaria,2016-11-01,
Kalotina (BG)/ Dimitrovgrad (RS),Bulgaria,Serbia,2016-11-01,
Kamminke,Poland,Germany,2016-11-01,0.0
Karksi,Latvia,Estonia,2016-11-01,7.0
Karksi,Estonia,Latvia,2016-11-01,0.0
Kastoria (TAP),Greece,Albania,2016-11-01,0.0
Kiefersfelden,Germany,Austria,2016-11-01,38.0
Kieménai,Lithuania,Latvia,2016-11-01,3.0
Kieménai,Latvia,Lithuania,2016-11-01,0.0
Kipi,Republic of Türkiye,Greece,2016-11-01,38.0
Kireevo(BG)/Zaychar(RS),Bulgaria,Serbia,2016-11-01,0.0
Kireevo(BG)/Zaychar(RS),Serbia,Bulgaria,2016-11-01,
Kiskundorozsma,Hungary,Serbia,2016-11-01,220.0
Kiskundorozsma,Serbia,Hungary,2016-11-01,0.0
Kiyikoy,Russia,Republic of Türkiye,2016-11-01,0.0
Klaipeda,Liquefied Natural Gas,Lithuania,2016-11-01,81.0
Kondratki,Belarus,Poland,2016-11-01,2914.0
Korneti,Estonia,Latvia,2016-11-01,0.0
Korneti,Latvia,Estonia,2016-11-01,0.0
Kotlovka,Belarus,Lithuania,2016-11-01,406.0
KrK - Omisalj,Liquefied Natural Gas,Croatia,2016-11-01,0.0
